epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.4774,0.75178,0.90909,1,0.62473,0.000236494,0.000236494,0.000236494
2,31.3891,0.25713,0.90909,1,0.60317,0.000469796,0.000469796,0.000469796
3,45.9448,0.19523,0.90909,1,0.60133,0.000698386,0.000698386,0.000698386
4,60.5378,0.16469,1,1,0.5703,0.000692794,0.000692794,0.000692794
5,75.5966,0.12192,0.93939,1,0.60025,0.000685726,0.000685726,0.000685726
6,90.5032,0.13206,0.90909,1,0.70661,0.000678657,0.000678657,0.000678657
7,105.606,0.10325,1,1,0.57182,0.000671588,0.000671588,0.000671588
8,120.48,0.12083,0.93939,1,0.57866,0.00066452,0.00066452,0.00066452
9,134.829,0.08744,0.9697,1,0.57252,0.000657451,0.000657451,0.000657451
10,149.062,0.06549,0.9697,1,0.57038,0.000650383,0.000650383,0.000650383
11,164.585,0.09389,1,1,0.5624,0.000643314,0.000643314,0.000643314
12,181.379,0.06575,0.9697,1,0.56677,0.000636245,0.000636245,0.000636245
13,197.804,0.05525,0.9697,1,0.57158,0.000629177,0.000629177,0.000629177
14,215.289,0.06306,0.93939,1,0.58949,0.000622108,0.000622108,0.000622108
15,231.716,0.05807,0.9697,1,0.56339,0.00061504,0.00061504,0.00061504
16,246.682,0.04702,0.9697,1,0.57005,0.000607971,0.000607971,0.000607971
17,261.653,0.05921,1,1,0.55991,0.000600902,0.000600902,0.000600902
18,276.931,0.05886,1,1,0.56283,0.000593834,0.000593834,0.000593834
19,292.086,0.06156,0.9697,1,0.56171,0.000586765,0.000586765,0.000586765
20,307.755,0.04679,1,1,0.55601,0.000579697,0.000579697,0.000579697
21,323.755,0.0592,0.9697,1,0.58735,0.000572628,0.000572628,0.000572628
22,339.823,0.03462,0.9697,1,0.8029,0.000565559,0.000565559,0.000565559
23,357.176,0.04391,1,1,0.55976,0.000558491,0.000558491,0.000558491
24,374.921,0.03443,1,1,0.55508,0.000551422,0.000551422,0.000551422
25,390.903,0.05624,0.9697,1,0.56664,0.000544354,0.000544354,0.000544354
26,405.149,0.03535,0.93939,1,0.63428,0.000537285,0.000537285,0.000537285
27,420.266,0.043,0.9697,1,0.57807,0.000530216,0.000530216,0.000530216
28,434.716,0.04153,0.9697,1,0.56933,0.000523148,0.000523148,0.000523148
29,450.232,0.03989,0.9697,1,0.63208,0.000516079,0.000516079,0.000516079
30,465.612,0.03431,0.9697,1,0.56741,0.000509011,0.000509011,0.000509011
31,481.163,0.02161,0.9697,1,0.56633,0.000501942,0.000501942,0.000501942
32,497.258,0.03698,0.9697,1,0.57141,0.000494873,0.000494873,0.000494873
33,513.445,0.03317,0.9697,1,0.56899,0.000487805,0.000487805,0.000487805
34,530.108,0.04784,0.93939,1,0.85354,0.000480736,0.000480736,0.000480736
35,546.723,0.03542,0.9697,1,0.65521,0.000473668,0.000473668,0.000473668
36,564.161,0.038,0.9697,1,0.58213,0.000466599,0.000466599,0.000466599
37,581.224,0.03096,0.9697,1,0.5736,0.00045953,0.00045953,0.00045953
38,597.566,0.0386,0.9697,1,0.57242,0.000452462,0.000452462,0.000452462
39,613.474,0.02614,1,1,0.5658,0.000445393,0.000445393,0.000445393
40,629.59,0.02937,0.9697,1,0.62182,0.000438325,0.000438325,0.000438325
41,646.481,0.03213,0.9697,1,0.57186,0.000431256,0.000431256,0.000431256
42,663.543,0.0337,0.9697,1,0.56151,0.000424187,0.000424187,0.000424187
43,680.262,0.0306,1,1,0.55799,0.000417119,0.000417119,0.000417119
44,695.67,0.03896,1,1,0.55871,0.00041005,0.00041005,0.00041005
45,711.218,0.03187,0.9697,1,0.56322,0.000402982,0.000402982,0.000402982
46,728.942,0.02251,0.9697,1,0.55887,0.000395913,0.000395913,0.000395913
47,746.391,0.04272,1,1,0.5544,0.000388844,0.000388844,0.000388844
48,764.177,0.02969,0.9697,1,0.56309,0.000381776,0.000381776,0.000381776
49,782.95,0.02742,0.9697,1,0.56933,0.000374707,0.000374707,0.000374707
50,801.078,0.02146,1,1,0.55795,0.000367639,0.000367639,0.000367639
51,819.656,0.02533,0.9697,1,0.56499,0.00036057,0.00036057,0.00036057
52,838.666,0.02388,0.93939,1,0.84471,0.000353501,0.000353501,0.000353501
